Parameter,Value
Input_Voltage_V,5.0
Target_Output_V,7.0
Switching_Frequency_Hz,100000.0
Duty_Cycle_percent,35.0
Inductance_uH,100.0
Capacitance_uF,220.0
Simulation_Load_Ohm,24.0
Hardware_Load_Ohm,27.0
Average_Output_V,6.992203349991893
Minimum_Output_V,6.981306679461116
Maximum_Output_V,7.003095387743894
Output_Ripple_V,0.021788708282778124
Output_Ripple_mV,21.788708282778124
Average_Inductor_Current_A,0.44667826287648577
Inductor_Ripple_A,0.19959383022438654
Average_Output_Current_A,0.2913418062496622
Output_Power_W,2.037121153651577
Ideal_Theory_Output_V,7.692307692307692
Practical_Theory_Output_V,6.9923076923076914
Ideal_Theory_Error_percent,9.10135645010538
Practical_Theory_Error_percent,0.0014922443403490948
Number_of_Samples,500000.0
